央视频道,#genre#
武术世界,http://lysj.aylzline.top:8899/rtp/225.1.2.102:10606
武术世界,http://www.siyao.xin:4000/rtp/225.1.2.102:10606
文物宝库,http://lysj.aylzline.top:8899/rtp/225.1.2.101:10600
文物宝库,http://www.siyao.xin:4000/rtp/225.1.2.101:10600
动感音乐,http://lysj.aylzline.top:8899/rtp/225.1.2.158:10966
动感音乐,http://www.siyao.xin:4000/rtp/225.1.2.158:10966
弈坛春秋,http://lysj.aylzline.top:8899/rtp/225.1.2.233:11506
弈坛春秋,http://www.siyao.xin:4000/rtp/225.1.2.233:11506
电影频道,#genre#
家庭影院,http://lysj.aylzline.top:8899/rtp/225.1.2.214:11422
家庭影院,http://www.siyao.xin:4000/rtp/225.1.2.214:11422
动作电影,http://lysj.aylzline.top:8899/rtp/225.1.2.215:11428
动作电影,http://www.siyao.xin:4000/rtp/225.1.2.215:11428
影迷电影,http://lysj.aylzline.top:8899/rtp/225.1.2.210:11398
影迷电影,http://www.siyao.xin:4000/rtp/225.1.2.210:11398
经典电影,http://lysj.aylzline.top:8899/rtp/225.1.2.167:11020
经典电影,http://www.siyao.xin:4000/rtp/225.1.2.167:11020
教育频道,#genre#
中国教育1,http://lysj.aylzline.top:8899/rtp/225.1.2.94:10558
中国教育1,http://www.siyao.xin:4000/rtp/225.1.2.94:10558
中国教育2,http://lysj.aylzline.top:8899/rtp/225.1.2.149:10912
中国教育2,http://www.siyao.xin:4000/rtp/225.1.2.149:10912
中国教育4,http://lysj.aylzline.top:8899/rtp/225.1.2.95:10564
中国教育4,http://www.siyao.xin:4000/rtp/225.1.2.95:10564
CGTN,http://lysj.aylzline.top:8899/rtp/225.1.2.12:10066
CGTN,http://lysj.aylzline.top:8899/rtp/225.1.2.185:11836
CGTN,http://www.siyao.xin:4000/rtp/225.1.2.12:10066
CGTN,http://www.siyao.xin:4000/rtp/225.1.2.185:11836
CGTN法语,http://lysj.aylzline.top:8899/rtp/225.1.2.187:11848
CGTN法语,http://www.siyao.xin:4000/rtp/225.1.2.187:11848
CGTN俄语,http://lysj.aylzline.top:8899/rtp/225.1.2.189:11860
CGTN俄语,http://www.siyao.xin:4000/rtp/225.1.2.189:11860
CGTN阿语,http://lysj.aylzline.top:8899/rtp/225.1.2.188:11854
CGTN阿语,http://www.siyao.xin:4000/rtp/225.1.2.188:11854
CGTN西语,http://lysj.aylzline.top:8899/rtp/225.1.2.186:11842
CGTN西语,http://www.siyao.xin:4000/rtp/225.1.2.186:11842
华东地区,#genre#
山东教育,http://lysj.aylzline.top:8899/rtp/225.1.2.150:10918
山东教育,http://www.siyao.xin:4000/rtp/225.1.2.150:10918
华中地区,#genre#
河南都市,http://lysj.aylzline.top:8899/rtp/225.1.2.56:10330
河南都市,http://www.siyao.xin:4000/rtp/225.1.2.56:10330
河南民生,http://lysj.aylzline.top:8899/rtp/225.1.2.57:10336
河南民生,http://www.siyao.xin:4000/rtp/225.1.2.57:10336
河南法治,http://lysj.aylzline.top:8899/rtp/225.1.2.58:10342
河南法治,http://www.siyao.xin:4000/rtp/225.1.2.58:10342
河南电视剧,http://lysj.aylzline.top:8899/rtp/225.1.2.59:10348
河南电视剧,http://www.siyao.xin:4000/rtp/225.1.2.59:10348
河南新闻,http://lysj.aylzline.top:8899/rtp/225.1.2.60:10354
河南新闻,http://www.siyao.xin:4000/rtp/225.1.2.60:10354
河南公共,http://lysj.aylzline.top:8899/rtp/225.1.2.62:10366
河南公共,http://www.siyao.xin:4000/rtp/225.1.2.62:10366
河南乡村,http://lysj.aylzline.top:8899/rtp/225.1.2.104:10618
河南乡村,http://www.siyao.xin:4000/rtp/225.1.2.104:10618
河南移动,http://lysj.aylzline.top:8899/rtp/225.1.2.190:11866
河南移动,http://www.siyao.xin:4000/rtp/225.1.2.190:11866
欢腾购物,http://lysj.aylzline.top:8899/rtp/225.1.2.61:10360
欢腾购物,http://lysj.aylzline.top:8899/rtp/225.1.2.73:11578
欢腾购物,http://www.siyao.xin:4000/rtp/225.1.2.61:10360
欢腾购物,http://www.siyao.xin:4000/rtp/225.1.2.73:11578
金鹰纪实,http://lysj.aylzline.top:8899/rtp/225.1.2.97:10576
金鹰纪实,http://www.siyao.xin:4000/rtp/225.1.2.97:10576
其他频道,#genre#
CCTVNews,http://lysj.aylzline.top:8899/rtp/225.1.2.184:11830
CCTVNews,http://www.siyao.xin:4000/rtp/225.1.2.184:11830
IPTV3,http://lysj.aylzline.top:8899/rtp/225.1.2.146:10894
IPTV3,http://www.siyao.xin:4000/rtp/225.1.2.146:10894
IPTV5,http://lysj.aylzline.top:8899/rtp/225.1.2.153:10936
IPTV5,http://lysj.aylzline.top:8899/rtp/225.1.2.52:10306
IPTV5,http://www.siyao.xin:4000/rtp/225.1.2.153:10936
IPTV5,http://www.siyao.xin:4000/rtp/225.1.2.52:10306
IPTV6,http://lysj.aylzline.top:8899/rtp/225.1.2.155:10948
IPTV6,http://www.siyao.xin:4000/rtp/225.1.2.155:10948
IPTV8,http://lysj.aylzline.top:8899/rtp/225.1.2.51:10300
IPTV8,http://www.siyao.xin:4000/rtp/225.1.2.51:10300
IPTV少儿动画,http://lysj.aylzline.top:8899/rtp/225.1.2.172:11050
